person_id,name
7455,上田 定雄
1173025,Mitsugu Mita
125016,林寛
125016,Kan Hayashi
72540,Takeshi Kato
72540,Tsuyoshi Kato
72540,加藤武
72540,Takeshi Katō
1268329,森恵子
1268329,Keiko Mori
1268329,毛利啓子
2461,Mel Columcille Gerard Gibson
2461,梅尔·吉布森
2461,Мэл Гибсон
28010,David Ogden-Stiers
28010,David Ogden Steers
28010,David Stiers
28010,David Ogden Stires
3894,Кристиан  Бейл
3894,克里斯汀·貝爾
3894,คริสเตียน เบล
3894,クリスチャン・ベール
3894,크리스찬 베일
3894,كريستيان بيل
9188,William Connolly
9188,Біллі Конноллі
181486,Joe Cunningham
181486,Joe E. Baker
4935,Peter William Postlethwaite
4935,Peter Postlethwaite
1979,케빈 스페이시
1979,Кевин Спейси
1979,كيفين سبيسي
1979,ケヴィン・スペイシー
1979,เควิน สเปซีย์
1979,凱文·斯貝西
1243,Woodie Allen
1243,Allan Stewart Konigsberg
1243,Вуди Аллен
1243,วูดดี อัลเลน
1243,伍迪·艾伦
1243,ウディ・アレン
1243,우디 앨런
1243,وودي آلن
1283,Helena Bonham-Carter
1164,Frank Murray Abraham
1164,Murray Abraham
29545,Patricia Claire Blume
4688,Michael Rappaport
5251,"John Warden Lebzelter, Jr."
27811,Питер Уэллер
25819,Mike Placido
1837056,Marieta Ilo
1837056,Marjeta Ilo
1837056,Marieta Ljarja
1837056,Мариета Ляря
46423,Olivia Jane d'Abo
6067,Jay Sanders
6067,Jay Olcutt Sanders
6352,Lady Jayne Seymour Fonda
6352,Джейн Фонда
2130,Ivan Simon Cary Elwes
1210,Victor Vicuna
1210,Hector Elizonda
1210,Héctor Elizondo
83053,Hope Alexander
56890,Malcolm John Taylor
56890,Malcolm Mc Dowell
56890,Malcolm MacDowell
56890,Malcom McDowell
1466,Charles Edward Durning
1466,Charles Durnham
400,Géraldine Chaplin
11064,David Russell Strathairn
225301,Anna Buonaiuto
69302,Gary Paul Davis
69302,G Paul Davis
69302,G. Paul Davis
69302,G. Paul Davis 'Litefoot'
4581,Stephen John Coogan
2628,基夫修打蘭
33689,Charlaine Woodward
33689,Charleine Woodard
33689,Charlain Woodard
33689,Charlaine Woodard
65017,Natalia Nogulich
74375,羅芙洛
3905,William Hall Macy Jr.
3905,W.H. Macy
20747,Joanna Hall
20747,Joanne Hall
66131,Tracy Jones
66131,Tracy C. Jones
2535,Vivica Fox
2535,Vivian A. Fox
66132,Vivian Lee Smallwood
1214127,Suli R. McCullough
62066,Langston Faizon Santisima
62066,Faison Love
4987,Omar Hashim Epps
18277,Sandra Annette Bullock
18277,Сандра Буллок
1362948,Jane Moffatt
5170,Michael Starr
7676,William Atherton Knight
23970,Denise Y. Dowse
16850,Rose Arianna McGowan
40009,Matthew Frewer
40009,Matthew George Frewer
40009,Matt George Frewer
72612,Cami Cooper
1384186,Sean Parhm
27116,Kevin John Conway
1219510,Ellis Williams
1634657,Amanda Mary Smith
25879,Geoff Peirson
25879,Geoffrey Pierson
25256,Victoria Mérida Rojas
38402,Katerine Boorman
9778,Ice Cube Nwa
9778,O'Shea Jackson
9778,Westside Connection
9778,N.W.A.
9778,NWA
8396,Zeus
8396,Z-Gangsta
8396,Tommy Lister
8396,Tommy Tiny Lister
8396,Tommy Duane Lister
8396,Tom 'Tiny' Lister
8396,Tiny Lister
8396,Tiny Tom Lister Jr.
54800,Anna Horsford
54800,Anna Marie Horsford
19754,"Joseph Anthony ""Tony"" Cox"
19754,Joseph Anthony Cox
19754,Anthony J. Cox
19754,Anthony Cox
19754,Joe Anthony Cox
19754,Joe Antony Cox
22122,Meagan Monique Good
22122,Megan Good
37932,Gary Gray
37932,Felix Gary Gray
97781,Renaldo Rey
61981,Michael Duncan
61981,Michael Clark Duncan
61981,Michael C. Duncan
61981,Michael 'Big Mike' Duncan
1461,佐治·古尼
1461,Джордж Клуни
1461,ジョージ・クルーニー
1461,จอร์จ คลูนีย์
1461,조지 클루니
1461,جورج كلوني
1461,Джордж Клуні
1461,Джордж Тімоті Клуні
1037,هارفي كيتل
1037,하비 카이텔
1037,ハーヴェイ・カイテル
1037,Харви Кейтель
1037,哈维·凯特尔
2536,Майкл Паркс
16861,John Perkins
59287,Greg Nicatero
59287,Greg Nickotero
59287,Greg Nicotera
59287,Greg Nicotero
13021,Billy Baldwin
3087,Robert Selden Duvall
3087,Robert Duval
3087,Robert S. Duvall
1475,Musetta van der Merwe
35554,Steven Lawrence
61403,Erik M. Walker
46074,Rachel Harris
3896,連恩·尼遜
3896,เลียม นีสัน
3896,Лиам Нисон
3896,リーアム・ニーソン
3896,리암 니슨
3896,ليام نيسون
3896,Ліам Нісон
3896,Вільям Джон Нісон
139,우마 서먼
7031,Julian Rhind Tutt
7031,Julian Alistair Rhind-Tutt
21063,Pamela F. Segall
21063,Pamela S. Adlon
21063,Pamela Segall Adlon
21063,Pam Adlon
21063,Pamela Aldon
21063,Pam Seagall
21063,Pamela Segal
21063,Pam Segal
21063,Pamela Segall
21063,Pamella Segall
21063,Pam Segall
21063,Pamela Segall-Adlon
21063,Pamela Segall-Aldon
21063,Pam Siegal
16851,Josh J. Brolin
16851,جوش برولين
16851,조시 브롤린
16851,ジョシュ・ブローリン
16851,喬許·布洛林
16851,Джош Бролин
4890,Brain Tarantina
18316,Allene Walker
18274,R.M. Haley
83860,Aldis Alexander Basil Hodge
10556,Lisa LeBlanc
4175,Jeffery Tambor
25689,Liliana Glabczynska
938895,Nico Otzak
938895,Krista Nico
54754,Viva Auder
514,Джек Николсон
514,جاك نيكلسون
514,杰克·尼科尔森
514,แจ็ก นิโคลสัน
514,ジャック・ニコルソン
514,잭 니컬슨
32,Robin Wright-Penn
32,로빈 라이트
32,Robin Virginia Gayle Wright
56152,Kari Wührer
4994,Hideki Ishibashi
4994,Ryou Ishabashi
4994,Ryo Ishabashi
4994,Ryô Ishibashi
14544,Penny Allen
21544,Richard Sarafian
21544,Alan Smithee
7447,Алек Болдуин
7447,อเล็ก บอลด์วิน
7447,アレック・ボールドウィン
7447,앨릭 볼드윈
7447,艾力·寶雲
7447,أليك بالدوين
24045,Джозеф Гордон-Левітт
24045,Джозеф Гордон-Левитт
24045,喬瑟夫·高登-李維
24045,โจเซฟ กอร์ดอน-เลวิตต์
24045,ジョゼフ・ゴードン＝レヴィット
24045,조셉 고든 레빗
24045,جوزيف غوردون-ليفيت
24045,Joseph Leonard Gordon-Levitt
24045,Joey Gordon-Levitt
24045,Joe Gordon-Levitt
24045,Joseph Leonard Levitt
14884,Mike Constantine
14884,Constantine Joanides
1271,Andy Arthur
1271,Andres Garcia
1271,Энди Гарсиа
1062,Chris Lloyd
1062,Christopher Allen Lloyd
4520,Bill Forsythe
4520,Уильям Форсайт
884,史蒂夫·布西密
884,ستيف بوشيمي
884,스티브 부세미
884,スティーヴ・ブシェミ
884,Стив Бушеми
884,สตีฟ บูเซมี
826,Fairuza Alejandra Feldthouse
826,Φαιρουζα Μπαλκ
5503,Gabriel Anwar
4690,크리스토퍼 워컨
4690,كريستوفر واكن
4690,クリストファー・ウォーケン
4690,Кристофер Уокен
4690,คริสโตเฟอร์ วอลเคน
4690,克里斯托弗·沃肯
13506,Willeke van Ammelrooi
13506,Willeke v. Ammelrooy
13514,Jan Amanda Gustaaf Decleir
19739,Al Freeman
19739,Albert Cornelius Freeman Jr.
19739,Albert C. Freeman Jr.
53918,Salli Richardson
6542,Ike
6542,Isaac Lee Hayes Jr.
6542,The Black Moses
94511,Henry Saint Clair Fredericks
12974,Leon Robinson
59204,Nic Gregory
59204,Nicholas Gregory
6832,Margaret May
7505,Roddy Mc Dowall
7505,Roddy MacDowall
7505,Roddy McDowell
17495,Martha Campbell Plimpton
5131,Diane Louise Salinger
115178,Christopher Donald Siegel
115178,K. T. Donaldson
115178,Kristoffer Siegel-Tabori
115178,Christopher Tabori
115178,Kris Tabori
115178,Kristofer Tabori
115178,Kristopher Tabori
25658,Christopher Stephens
25658,Christopher Larkin
8227,Anna Raymond Massey
1229,Jeffrey Bridges
1229,Jeffrey Leon Bridges
1229,Джефф Бриджес
1229,傑夫·布里吉
1229,جيف بريدجز
1229,제프 브리지스
1229,ジェフ・ブリッジス
1229,เจฟฟ์ บริดเจส
24965,Scott Richard Wolf
24965,D. Scott Wolf
17413,Julio Mechoso
17413,Julio Oscar Mochoso
1206,Jason Scott Greenspan
4757,Rupert James Hector Everett
4757,Rupert J. H. Everett
4757,Rupert James H. Everett
4757,Rupert J. Hector Everett
13243,Glen Shadix
