movie_id,genre_id
18129,18
54405,35
54405,10769
409,18
409,10749
409,10752
38251,35
38251,10749
38251,10752
10161,18
1412,18
41768,18
10409,35
10409,18
10409,10749
2469,35
2469,80
2469,18
2469,10749
10174,99
10174,10402
31225,99
510,18
11455,35
1891,12
1891,28
1891,878
2493,12
2493,10751
2493,14
2493,35
2493,10749
85,12
85,28
68,35
68,878
679,27
679,28
679,53
679,878
429,37
13446,35
13446,18
947,12
947,18
947,36
947,10752
185,878
185,18
595,80
595,18
28,18
28,10752
335,37
1892,12
1892,28
1892,878
1092,53
1092,9648
769,18
769,80
348,27
348,28
348,53
348,878
766,14
766,27
766,35
175,12
175,18
175,10749
11645,28
11645,18
11645,36
10835,28
10835,80
10835,18
10835,53
525,10402
525,35
525,28
525,80
240,18
240,80
600,18
600,10752
530,12
530,16
530,35
530,878
530,10751
279,18
279,36
279,10402
3109,35
3109,18
3109,10749
311,18
311,80
1578,18
703,35
703,18
703,10749
9549,18
9549,36
1398,18
1398,878
1398,53
387,28
387,18
387,36
387,10752
387,12
9277,35
9277,80
9277,18
343,35
343,18
343,10749
490,14
490,18
11235,35
11235,18
534,28
534,878
534,53
763,27
763,35
9665,10752
18971,35
18971,18
696,35
696,18
696,10749
379,18
379,53
379,80
37247,35
37247,18
1480,18
1480,53
1480,80
826,18
826,36
826,10752
422,14
422,18
829,80
829,18
829,9648
829,53
3090,28
3090,12
3090,18
3090,37
9964,28
9964,35
9964,27
9964,878
3063,10752
3063,35
3063,10402
13667,35
694,27
694,53
235,80
235,18
832,18
832,28
832,53
832,80
765,27
765,35
765,14
5925,12
5925,18
5925,36
5925,53
5925,10752
4485,28
4485,18
4485,10402
4485,53
137,10749
137,14
137,18
137,35
8428,10402
8428,18
212,35
212,80
1633,18
1633,35
11202,18
11202,36
11202,10752
1554,80
1554,18
1554,35
149,878
149,16
8009,12
8009,28
8009,14
43386,12
43386,18
43386,36
43386,10749
3034,35
3034,878
339,35
339,18
10404,18
914,35
756,16
756,10751
756,10402
288,37
2640,53
2640,35
2640,18
16633,878
16633,18
16633,14
16633,10749
11314,99
11314,10402
15143,18
15143,10749
89,12
89,28
10322,35
10322,18
783,12
783,18
783,36
10644,35
10644,10749
11257,18
11257,10749
14370,35
14370,10749
12104,10402
625,18
625,36
625,10752
8816,18
8816,35
830,878
2323,18
2323,14
983,12
