id,company_name
7035,Lions Gate Entertainments
11276,United States Pictures
74008,International Classics
3080,Midfield Films
2432,Quanta Centro de Produções Cinematográficas
40462,Bonnie Raskin Productions
7488,Production Champion
2016,Interlight
39223,Empera Pictures
26947,Syndicate Films International
11027,Stratus Film Co.
16,United King Films
3272,Aramid Entertainment Fund
2180,Outerbanks Entertainment
6417,Film i Väst
2312,Tevere Film
1877,Café Film
36206,Comptom Investments
14160,Jaffilms Inc.
7296,K/O Paper Products
72591,Prayer Flag Pictures
1039,Channel One Russia
1038,Bazelevs Production
6339,Solar Films inc.
15558,Kennesset Productions
2440,Mij Film Co.
8459,Gerard Damiano Film Productions (GDFP)
21438,Nightfall Productions
74952,Tohokushinsha Film Corporation
11200,Buena Vista Home Entertainment
11929,Dear Film Produzione
2854,Adelaide Film Festival
57417,Cinecom Pictures
57416,Master Productions
5406,Good Film Company
4949,Del Duca Films
11625,Fengler Films
2958,Bentley Filmgroup
10482,Trio Films
1142,c-style
7893,Pacific Renaissance Pictures Ltd.
2278,EOS Entertainment
35709,Hercules Films
2990,Departure Studios
2989,Departure Entertainment
75510,Filmi Doomireew
16897,Ciné-Sud Promotion
57380,Mama Films
31123,Euskal Irrati Telebisa (EITB)
822,Happinet Pictures
19554,SAI Productions
19553,Elektra Productions
3364,Micott Basara K.K.
50511,Wall to Wall
3362,Geneon Entertainment
3361,Digital Frontier
52679,HD Vision Studios
65393,Cecchi Gori Pictures
95937,Palmyra Films
38504,Really Useful Films
14163,Mandalay Independent Pictures
7419,Scion Films
55258,White Noise UK Ltd.
11573,Corus
1152,Independent Television Service
561,Anhelo Productions
546,Monsoon Pictures
1473,Depth of Field
4372,Dash Films
562,Appian Way
684,Kim Ki-Duk Film
55512,Theobald Film Productions
45778,Plan B Entertainment
12713,Monachia Film
7258,Alliance
564,Industrial Development Corporation of South Africa
628,Alpine Productions
627,Internacional Films Espagnol
2335,Film 4
56628,The Convex Group
7495,Sixth Sense Productions
14315,Section Eight Productions
4470,United Producers
15782,Seventh Art Releasing
89129,Creative Visions Productions
5092,Chum City
11420,Showbox Entertainment
667,IFMD Ltd.
2495,Lefwander Kapitalförvaltning AB
19930,Cinéart
707,Matador Pictures
3548,Big Picture Media Corporation
10169,Visual Bible International
10168,Toronto Film Studios
3095,Whitewater Films
54004,Optional Pictures
5374,Marv Films
11146,McDongall Films
11145,LIFE(n)
55367,PVPictures
22376,Plunge Pictures LLC
1168,Novo Arturo Films
784,Himenóptero
4207,Sahamongkolfilm Co.
4206,Baa-Ram-Ewe
17415,Casa de Cinema de Porto Alegre
3801,VIP 2 Medienfonds
18972,49 Film
4723,Assise Productions
25080,AFS Film
3289,Clap Filmes
3200,Chartoff Productions
11847,Mitsubishi
